career,careerLabel,eff
http://www.wikidata.org/entity/Q23498,archaeology,4036
http://www.wikidata.org/entity/Q309,history,1000
http://www.wikidata.org/entity/Q2415966,prehistoric archaeology,447
http://www.wikidata.org/entity/Q50637,art history,428
http://www.wikidata.org/entity/Q1669589,classical archaeology,380
http://www.wikidata.org/entity/Q23404,anthropology,285
http://www.wikidata.org/entity/Q1671076,medieval archaeology,249
http://www.wikidata.org/entity/Q959782,archaeological excavation,198
http://www.wikidata.org/entity/Q460162,museology,170
http://www.wikidata.org/entity/Q11756,prehistory,149
http://www.wikidata.org/entity/Q145903,Egyptology,147
http://www.wikidata.org/entity/Q132151,ethnography,142
http://www.wikidata.org/entity/Q631286,numismatics,133
http://www.wikidata.org/entity/Q41493,ancient history,132
http://www.wikidata.org/entity/Q113884225,ancient archeology,131
http://www.wikidata.org/entity/Q495527,classical philology,97
http://www.wikidata.org/entity/Q181260,epigraphy,92
http://www.wikidata.org/entity/Q12271,architecture,88
http://www.wikidata.org/entity/Q476294,oriental studies,87
http://www.wikidata.org/entity/Q1760972,Christian archaeology,85
http://www.wikidata.org/entity/Q12554,Middle Ages,81
http://www.wikidata.org/entity/Q63386008,curating,80
http://www.wikidata.org/entity/Q119190,medieval studies,74
http://www.wikidata.org/entity/Q11761,Bronze Age,70
http://www.wikidata.org/entity/Q43455,ethnology,69
http://www.wikidata.org/entity/Q914856,historic preservation,69
http://www.wikidata.org/entity/Q36422,Neolithic,68
http://www.wikidata.org/entity/Q3621486,landscape archaeology,68
http://www.wikidata.org/entity/Q1069,geology,65
http://www.wikidata.org/entity/Q1254302,archaeology of the Roman provinces,62
